id,name,population,airports,seaports,land neighbors,water neighbors,wealth,wet,dry,heat,cold,medicine
1,United States of America,315749000,2,1,2 4,6,50000,1,1,1,1,3
2,Canada,33476688,2,1,1,3,42734,1,1,1,3,3
3,Greenland,56370,1,1,,13,37400,1,1,0,3,2
4,Mexico,112336538,1,1,1 5,6,15312,1,2,2,0,1
5,Central America,41739000,0,1,4 54,6,5339,2,1,2,0,1
6,Caribbean,39170000,0,2,,1 5 4,15799,2,1,3,0,1
7,Australia,22620600,1,1,,10 11 12 8 9,42354,1,2,2,1,2
8,New Zealand,4405200,1,1,,7 9 10 11 12,27668,1,1,2,2,2
9,New Guinea,7014000,0,1,,7 8 10 11 12,2700,2,1,2,1,2,1
10,Philippines,94852030,0,1,,7 8 9 11 12,4429,2,0,2,0,1
11,Malaysia,28859154,0,1,,7 8 9 10 12,16942,2,1,2,0,0
12,Indonesia,242325638,0,1,,7 8 9 10 11,5088,3,0,2,0,1
13,Iceland,321857,1,1,,14,39223,1,1,0,2,2
14,United Kingdom,63181775,2,1,,14 17,36728,2,0,1,2,3
15,Portugal,10581949,1,1,16,,23385,1,0,2,1,2
16,Spain,47265321,1,0,15 17,53,30557,1,1,1,1,3
17,France,65350000,1,0,16 20 18,14,35548,1,0,1,2,3
18,Germany,81799600,1,0,17 19 25 44,22,39028,1,0,1,2,3
19,Denmark,5580413,1,0,18,21 22,37657,1,0,0,1,3
20,Italy,59530464,1,1,17 44 30,53,30136,2,1,2,1,3
21,Norway,5033675,0,0,22 23 28,19,53470,1,0,0,3,2
22,Sweden,9555853,0,0,21 23,19 25 24,40393,1,1,0,3,3
23,Finland,5421827,0,0,21 22 28,24,36395,1,1,0,3,3
24,Baltic States,6403155,0,0,28 27 25,22 23,19645,1,1,0,2,2
25,Poland,38186860,0,0,18 44 26 27 24,22,20334,1,2,0,2,2
26,Ukraine,44854065,0,0,28 27 25 44 43 30,,7598,1,1,1,2,1
27,Belarus,9457500,0,0,26 25 24 28,,15633,1,1,1,2,1
28,Russia,143300000,2,0,21 23 24 27 26 29 34 33 42 32,31 29,17709,1,2,1,3,2
29,Turkey,75627384,0,0,44 36 35 30,28,15001,1,2,1,2,1
30,Balkans,40764374,0,0,43 20 29 26,,8976,1,1,2,1,1
31,Japan,126659683,1,1,,28 32 42,36266,2,1,2,1,2
32,Korea,74558441,0,1,42 28,31,32272,2,0,2,2,1
33,Mongolia,3179997,0,0,28 42,,4743,0,3,1,2,1
34,Kazakhstan,16911900,0,0,28 42 39,,13892,1,2,1,2,1
35,Middle East,77983936,1,0,29 36 46,47,31275,0,3,2,0,1
36,Iran,77356669,0,0,39 38 37 35 29,,13053,0,2,2,0,1
37,Pakistan,180440005,0,0,40 42 38 36,,2960,1,2,2,1,0
38,Afghanistan,30419928,0,0,36 39 42,,1000,1,2,2,1,0
39,Turkmenistan,5125693,0,0,34 38 36,,7846,0,3,3,0,0
40,India,1210193422,1,1,42 41 37,,3851,2,1,2,1,1
41,Southeast Asia,225388320,0,1,42 40,10 11 12 8 9,5848,3,1,2,0,1
42,China,1353821000,2,0,33 32 40 41 37 38 34 28,31,9161,1,2,2,1,1
43,Romania,21790479,0,0,26 30 44,,12808,1,1,1,2,1
44,Central Europe,44650378,1,0,18 17 20 25 26 43 30,,34444,1,1,1,2,3
45,Madagascar,22005222,0,1,,47 48,933,2,1,2,0,1
46,Egypt,84314326,1,0,35 53 47,,6594,0,3,3,1,0
47,East Africa,120000000,0,0,48 53 49,45,6000,1,2,3,1,0
48,South Africa,50586757,1,1,47 49,48,10700,1,2,2,1,1
49,Angola,19618432,0,0,50 48 47,,2829,1,2,3,1,0
50,Congo,4139748,0,0,49 47 51,,300,1,2,3,1,0
51,Nigeria,162470737,0,0,50 53 52 47,,2500,1,2,3,1,0
52,Western Africa,211253780,0,0,53 51,,6500,1,2,3,1,0
53,Northern Africa,195637341,0,0,46 57 51,20 16,7112,0,2,3,1,1
54,Colombia,46927125,0,0,5 55 56 57,6,10700,1,1,2,1,0
55,Venezuela,29399817,0,0,54 57,6,13200,1,1,2,1,1
56,Peru-Bolivia,39487925,0,0,54 57 58 59,,8000,1,1,2,1,1
57,Brazil,196655014,1,1,54 55 56,6,12000,1,1,2,1,1
58,Argentina,40764561,0,0,59,,18200,1,1,2,1,1
59,Chile,17269525,0,0,56 58,,17600,2,1,2,1,1
