ID,Name,Description,Cost,Sell,Infectivity,Lethality,Visibility,Heat Resistance,Cold Resistance,Wet Resistance,Dry Resistance,Medicinal Resistance,Water Transmission,Air Transmission,Previous,Next,Image
0,Sneezing,Sneezing allows your disease to spread easier but also brings it some attention.,2,1,3,0,1,0,0,0,0,0,0,0,,7,lung.png
1,Coughing ,Coughing allows your disease to spread easier but also brings it some attention.,3,1,5,0,2,0,0,0,0,0,0,0,,13,lung.png
2,Nausea,Nausea allows your disease to spread through mouth to mouth contact and draws some attention to it.,2,1,1,1,1,0,0,0,0,0,0,0,,5,stomach.png
3,Rash,People avoid the infected more but they are more contagious. And more visible.,3,2,3,1,4,0,0,0,0,0,0,0,,11and12,simplebody.png
4,Headache,Headaches are annoying and painful. ,3,1,0,1,1,0,0,0,0,0,0,0,,6,skull.png
5,Vomiting,Vomiting brings a lot of attention but also can make the infected frail and weak.,6,3,5,5,5,0,0,0,0,0,0,0,2,,stomach.png
6,Migraine,Extremely bad headaches which make you sick in response to too much light or sound. ,6,2,0,3,3,0,0,0,0,0,0,0,4,17,skull.png
7,Fever,Fevers can be deadly.,6,2,2,4,3,0,0,0,0,0,0,0,0,14and8and17,body.png
8,Sepsis,Infection of the blood stream which can lead to high temperatures and shaking and death.,20,4,1,20,30,0,0,0,0,0,0,0,7,10and15,body.png
9,Diarrhea ,Diarrhea and its dehydrating effects can be deadly and can spread infection to the water supply.,7,2,7,6,4,0,0,0,0,0,0,0,2,,intestines.png
10,Organ Failure,The general breakdown of bodily functions in major organs. Will result in death if not treated quickly.,45,20,-15,60,90,0,0,0,0,0,0,0,8,,body.png
11,Lesions,Lesions can cause open wounds leading to death and spread of infection.,6,2,6,6,7,0,0,0,0,0,0,0,3,,simplebody.png
12,Cysts,Cysts hold pathogens and can burst and spread the disease.,6,2,4,4,6,0,0,0,0,0,0,0,3,,simplebody.png
13,Pulmonary Obstruction,This is a very deadly symptom long term. Limited breathing and lung damage are very visible however.,8,3,6,20,25,0,0,0,0,0,0,0,1,18and19,lungs.png
14,Inflammation,Inflammation is harmful and disrupting for many bodily processes. Can be deadly,9,2,6,10,9,0,0,0,0,0,0,0,7,15,body.png
