id,name,population,airports,seaports,land neighbors,water neighbors,wealth,wet,dry,heat,cold,medicine,disasters
1,The United States of America,315749000,0 1,1,2 4,6,50000,2,2,2,2,4,0 1 2 3 4 6 7
2,Canada,33476688,2 3,1,1,3,42734,2,2,2,4,4,0 2 6 7
3,Greenland,56370,,1,,13,37400,2,2,1,4,3,1 2 7
4,Mexico,112336538,4,1,1 5,6,15312,2,3,3,1,2,0 1 3 4 7
5,Central America,41739000,,1,4 54,6,5339,3,2,3,1,2,0 1 3 4 7
6,The Caribbean,39170000,,2,,1 5 4,15799,3,2,4,1,2,1 3 4 7
7,Australia,22620600,20,1,,10 11 12 8 9,42354,2,3,3,2,3,1 3 6 7
8,New Zealand,4405200,,1,,7 9 10 11 12,27668,2,2,3,3,3,1 3 7
9,New Guinea,7014000,,1,,7 8 10 11 12,2700,3,2,3,2,3,1 7
10,Philippines,94852030,,1,,7 8 9 11 12,4429,3,1,3,1,2,1 7
11,Malaysia,33859154,,1,,7 8 9 10 12,16942,3,2,3,1,1,1 7
12,Indonesia,242325638,,1,,7 8 9 10 11,5088,4,1,3,1,2,1 7
13,Iceland,321857,,1,,14,39223,2,2,1,3,3,1 6 7
14,The United Kingdom,67181775,5,1,,14 17,36728,3,1,2,3,4,0 1 3 7
15,Portugal,10581949,,1,16,,23385,2,1,3,2,3,0 1 4 6 7
16,Spain,47265321,19,0,15 17,53,30557,2,2,2,2,4,0 3 6 7
17,France,76350000,,0,16 20 18,14,35548,2,1,2,3,4,0 1 3 6 7
18,Germany,97799600,6,0,17 19 25 44,22,39028,2,1,2,3,4,0 3 6 7
19,Denmark,5580413,,0,18,21 22,37657,2,1,1,2,4,0 2 7
20,Italy,67530464,,1,17 44 30,53,30136,3,2,3,2,4,0 1 7
21,Norway,5033675,,0,22 23 28,19,53470,2,1,1,4,3,0 2 7
22,Sweden,9555853,,0,21 23,19 25 24,40393,2,2,1,4,4,0 2 7
23,Finland,5421827,,0,21 22 28,24,36395,2,2,1,4,4,0 2 7
24,The Baltic States,6403155,,0,28 27 25,22 23,19645,2,2,1,3,3,0 7
25,Poland,38186860,,0,18 44 26 27 24,22,20334,2,3,1,3,3,0 6 7
26,Ukraine,44854065,,0,28 27 25 44 43 30,,7598,2,2,2,3,2,0 2 7
27,Belarus,9457500,,0,26 25 24 28,,15633,2,2,2,3,2,0 2 6 7
28,Russia,161304136,7,0,21 23 24 27 26 29 34 33 42 32,31 29,17709,2,3,2,4,3,0 2 6 7
29,Turkey,75627384,14,0,44 36 35 30,28,15001,2,3,2,3,2,0 1 3 5 7
30,The Balkans,40764374,,0,43 20 29 26,,8976,2,2,3,2,2,0 7
31,Japan,126659683,17,1,,28 32 42,36266,3,2,3,2,3,0 1 7
32,Korea,74558441,18,1,42 28,31,32272,3,1,3,3,2,0 1 7
33,Mongolia,3179997,,0,28 42,,4743,1,4,2,3,2,0 3 5 6 7
34,Kazakhstan,22411900,,0,28 42 39,,13892,2,3,2,3,2,0 3 5 6 7
35,The Middle East,123983936,,0,29 36 46,47,31275,1,4,3,1,2,0 3 5 7
36,Iran,77356669,15,0,39 38 37 35 29,,13053,1,3,3,1,2,0 3 5 7
37,Pakistan,180440005,,0,40 42 38 36,,2960,2,3,3,2,1,0 3 5 7
38,Afghanistan,37419928,,0,36 39 42,,1000,2,3,3,2,1,0 3 5 7
39,Turkmenistan,34125693,,0,34 38 36,,7846,1,4,4,1,1,0 3 5 6 7
40,India,1410193422,10,1,42 41 37,,3851,3,2,3,2,2,0 1 3 5 6 7
41,Southeast Asia,225388320,16,1,42 40,10 11 12 8 9,5848,4,2,3,1,2,0 1 7
42,China,1353821000,8 9,0,33 32 40 41 37 38 34 28,31,9161,2,3,3,2,2,0 3 6 7
43,Romania,21790479,,0,26 30 44,,12808,2,2,2,3,2,0 2 7
44,Central Europe,44650378,,0,18 17 20 25 26 43 30,,34444,2,2,2,3,4,0 2 6 7
45,Madagascar,22005222,,1,,47 48,933,3,2,3,1,2,0 1 7
46,Egypt,119314326,13,0,35 53 47,,6594,1,4,4,2,1,0 3 5 7
47,East Africa,225710408,,0,48 53 49,45,6000,2,3,4,2,1,0 3 5 7
48,South Africa,50586757,12,1,47 49,48,10700,2,3,3,2,2,0 1 3 5 7
49,Angola,54618432,,0,50 48 47,,2829,2,3,4,2,1,0 3 5 7
50,Congo,104139748,,0,49 47 51,,300,2,3,4,2,1,0 3 5 7
51,Nigeria,204470737,,0,50 53 52 47,,2500,2,3,4,2,1,0 3 5 7
52,Western Africa,211253780,21,0,53 51,,6500,2,3,4,2,1,0 3 5 7
53,Northern Africa,195637341,,0,46 57 51,20 16,7112,1,3,4,2,2,0 3 5 7
54,Colombia,46927125,,0,5 55 56 57,6,10700,2,2,3,2,1,0 1 7
55,Venezuela,29399817,,0,54 57,6,13200,2,2,3,2,2,0 1 4 7
56,Peru Bolivia,39487925,,0,54 57 58 59,,8000,2,2,3,2,2,0 1 7
57,Brazil,196655014,11,1,54 55 56,6,12000,2,2,3,2,2,0 1 4 7
58,Argentina,40764561,,0,59,,18200,2,2,3,2,2,0 1 4 7
59,Chile,17269525,,0,56 58,,17600,3,2,3,2,2,0 1 7
