ID,Name,Description,Cost,Sell,Infectivity,Lethality,Visibility,Heat Resistance,Cold Resistance,Wet Resistance,Dry Resistance,Medicinal Resistance,Water Transmission,Air Transmission,Previous,Next,Image
0,Sneezing,Sneezing allows your disease to spread easier but also brings it some attention.,2,2,3,0,1,0,0,0,0,0,0,0,,8,lung.png
1,Coughing ,Coughing allows your disease to spread easier but also brings it some attention.,3,3,5,0,2,0,0,0,0,0,0,0,,13,lung.png
2,Nausea,Nausea allows your disease to spread through mouth to mouth contact and draws some attention to it.,2,2,1,1,1,0,0,0,0,0,0,0,,5,stomach.png
3,Rash,People avoid the infected more but they are more contagious. And more visible.,3,3,3,1,4,0,0,0,0,0,0,0,,11and12,simplebody.png
4,Dehydration,Dehydration can be deadly and is slightly noticeable.,3,3,0,3,2,0,0,0,0,0,0,0,,6and9,body.png
5,Vomiting,Vomiting brings a lot of attention but also can make the infected frail and weak.,6,6,2,5,5,0,0,0,0,0,0,0,2,,stomach.png
6,Dizziness,Dizziness can lead to dangerous accidents!,3,3,0,2,1,0,0,0,0,0,0,0,4,,crackedhead.png
7,Fatigue,Fatigue weakens the immune system of the infected.,5,5,0,1,1,0,0,0,0,0,0,0,,10,crackedhead.png
8,Fever,Fevers can be deadly.,6,6,2,4,3,0,0,0,0,0,0,0,0,14,body.png
9,Diarrhea ,Diarrhea and its dehydrating effects can be deadly and can spread infection to the water supply.,7,7,7,6,4,0,0,0,0,0,0,0,4,,intestines.png
10,Insomnia,Insomnia weakens immune system responses.,6,6,2,5,2,0,0,0,0,0,0,0,7,17,crackedhead.png
11,Lesions,Lesions can cause open wounds leading to death and spread of infection.,6,6,6,6,7,0,0,0,0,0,0,0,3,,simplebody.png
12,Cysts,Cysts hold pathogens and can burst and spread the disease.,6,6,4,4,6,0,0,0,0,0,0,0,3,,simplebody.png
13,Pulmonary Obstruction,This is a very deadly symptom long term. Limited breathing and lung damage are very visible however.,8,8,6,20,25,0,0,0,0,0,0,0,1,18and19,lung.png
14,Inflammation,Inflammation is harmful and disrupting for many bodily processes. Can be deadly,9,9,6,10,9,0,0,0,0,0,0,0,8,15,body.png
15,Paralysis,Paralysis is deadly but makes it much less likely for infected to infect others.,17,17,-2,20,30,0,0,0,0,0,0,0,14,16,body.png
16,Coma,Comas are very deadly and make it much less likely for infected to infect others.,30,30,-15,40,50,0,0,0,0,0,0,0,15,,body.png
17,Delirium,Delirium comes after not sleeping for way too long. It is very dangerous and very noticeable.,15,15,-3,15,20,0,0,0,0,0,0,0,10,,crackedhead.png
18,Pulmonary Edema,Blood in the lungs or Pulmonary Edema makes a disease more infective and deadly and visible.,28,28,10,25,35,0,0,0,0,0,0,0,13,,lung.png
19,Hypoxia,Hypoxia or the death of organs due to lack of oxygen is extremely deadly and will lead to much notice.,35,35,0,50,70,0,0,0,0,0,0,0,13,,body.png
20,Heat Resistance I,Resistance to low heat.,10,5,0,0,0,1,0,0,0,0,0,0,,21,heat1.png
21,Heat Resistance II,Resistance to medium heat.,15,10,0,0,0,1,0,0,0,0,0,0,20,22,heat2.png
22,Heat Resistance III,Resistance to high heat.,20,10,0,0,0,1,0,0,0,0,0,0,21,,heat3.png
23,Cold Resistance I,Resistance to low cold.,10,5,0,0,0,0,1,0,0,0,0,0,,24,cold1.png
24,Cold Resistance II,Resistance to medium cold.,15,10,0,0,0,0,1,0,0,0,0,0,23,25,cold2.png
25,Cold Resistance III,Resistance to high cold.,20,10,0,0,0,0,1,0,0,0,0,0,24,,cold3.png
26,Wet Resistance I,Resistance to low wetness.,10,5,0,0,0,0,0,1,0,0,0,0,,27,wet1.png
27,Wet Resistance II,Resistance to medium wetness.,15,10,0,0,0,0,0,1,0,0,0,0,26,28,wet2.png
28,Wet Resistance III,Resistance to high wetness.,20,10,0,0,0,0,0,1,0,0,0,0,27,,wet3.png
29,Dry Resistance I,Resistance to low dryness.,10,5,0,0,0,0,0,0,1,0,0,0,,30,dry1.png
30,Dry Resistance II,Resistance to medium dryness.,15,10,0,0,0,0,0,0,1,0,0,0,29,31,dry2.png
31,Dry Resistance III,Resistance to high dryness.,20,10,0,0,0,0,0,0,1,0,0,0,30,,dry3.png
32,Medicinal Resistance I,Resistance to low levels of medicine.,10,5,0,0,0,0,0,0,0,1,0,0,,33,med1.png
33,Medicinal Resistance II,Resistance to medium levels of medicine.,15,10,0,0,0,0,0,0,0,1,0,0,32,34,med2.png
34,Medicinal Resistance III,Resistance to high levels of medicine.,20,10,0,0,0,0,0,0,0,1,0,0,33,,med3.png
35,Water Transmission I,Low ability to be transmitted through water.,10,5,3,0,0,0,0,0,0,0,9,0,,36,water1.png
36,Water Transmission II,Medium ability to be transmitted through water.,15,10,6,0,0,0,0,0,0,0,15,0,35,37,water2.png
37,Water Transmission III,High ability to be transmitted through water.,25,10,9,0,0,0,0,0,0,0,25,0,36,,water3.png
38,Air Transmission I,Low ability to be transmitted through air.,10,5,3,0,0,0,0,0,0,0,0,1,,39,air1.png
39,Air Transmission II,Medium ability to be transmitted through air.,15,10,6,0,0,0,0,0,0,0,0,3,38,40,air2.png
40,Air Transmission III,High ability to be transmitted through air.,25,10,9,0,0,0,0,0,0,0,0,7,39,,air3.png
41,Avian Transmission I,Low ability to be transmitted through birds.,10,5,3,0,0,0,0,0,0,0,1,1,,42,avian1.png
42,Avian Transmission II,Medium ability to be transmitted through birds.,15,10,6,0,0,0,0,0,0,0,3,3,41,43,avian2.png
43,Avian Transmission III,High ability to be transmitted through brids.,25,10,9,0,0,0,0,0,0,0,7,7,42,,avian3.png
44,Insect Transmission I,Low ability to be transmitted through insects.,10,5,3,0,0,0,0,0,0,0,1,1,,45,insect1.png
45,Insect Transmission II,Medium ability to be transmitted through insects.,15,10,6,0,0,0,0,0,0,0,3,3,44,46,insect2.png
46,Insect Transmission III,High ability to be transmitted through insects.,25,10,9,0,0,0,0,0,0,0,7,7,45,,insect3.png
